S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
100,0.9125,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9125,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.94375,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.94375,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.975,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.975,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.00625,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.00625,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.0375,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.0375,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.06875,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.88125,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.88125,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9125,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9125,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.94375,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.94375,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.975,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.975,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.00625,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.00625,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.0375,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.0375,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.06875,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.88125,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.88125,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9125,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9125,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.94375,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.94375,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.975,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.975,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.00625,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.00625,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.0375,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.0375,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.06875,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
100,0.88125,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.88125,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9125,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9125,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.94375,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.94375,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.975,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.975,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,1.00625,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.00625,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.0375,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.0375,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.06875,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
100,0.88125,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.88125,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
100,0.9125,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9125,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
100,0.94375,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.94375,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.975,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.975,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,1.00625,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.00625,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.0375,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.0375,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.06875,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.1,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.85,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.75
100,0.88125,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.88125,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.75
100,0.9125,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9125,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
100,0.94375,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.94375,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
100,0.975,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.975,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,1.00625,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.00625,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.0375,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.0375,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.06875,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.1,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.85,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0458984375
100,0.85,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.89375,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0377197265625
100,0.89375,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.9375,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0311279296875
100,0.9375,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.98125,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.02447509765625
100,0.98125,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.025,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0184326171875
100,1.025,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.06875,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.01239013671875
100,1.06875,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.1125,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0067138671875
100,1.1125,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15625,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.00340461730957031
100,1.15625,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.005859375
100,1.2,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.89375,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.89375,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.9375,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9375,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.98125,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.98125,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.025,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.025,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.06875,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.1125,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1125,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15625,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15625,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.89375,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.89375,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9375,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9375,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.98125,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.98125,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.025,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.025,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.06875,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.1125,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1125,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15625,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15625,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.89375,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.89375,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9375,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9375,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.98125,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.98125,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.025,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.025,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.06875,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1125,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1125,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15625,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15625,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.89375,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.89375,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9375,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9375,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.98125,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.98125,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.025,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.025,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.06875,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1125,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1125,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15625,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15625,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.89375,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.89375,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9375,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9375,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.98125,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.98125,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1.025,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.025,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.06875,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.06875,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1125,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1125,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15625,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15625,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
